mean_auc,std_auc,rank_test_score,clf__class_weight,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.8533587508285541,0.002121562078926808,143,balanced,log_loss,15,78
0.8533587508285541,0.002121562078926808,143,balanced,entropy,15,78
0.8533337236256407,0.0019471311741966458,145,balanced,gini,15,98
0.8532950821939969,0.004624482209656438,146,balanced,gini,9,14
0.8532775326036649,0.002566992963834071,147,balanced,gini,15,68
0.8532446471779561,0.0019791875456793796,148,balanced,log_loss,15,68
0.8532446471779561,0.0019791875456793796,148,balanced,entropy,15,68
0.8532027886221971,0.0030780378059637836,150,balanced,gini,11,108
0.8531860655232748,0.0027033246509070787,151,balanced,gini,15,58
0.8530552374296692,0.0019911832043267813,152,,entropy,15,34
0.8530552374296692,0.0019911832043267813,152,,log_loss,15,34
0.853024580217993,0.00224235984984469,154,balanced,gini,15,108
0.8530181505097418,0.002216879846990104,155,balanced,log_loss,15,58
0.8530181505097418,0.002216879846990104,155,balanced,entropy,15,58
0.8530057110153022,0.002232842275534474,157,,gini,15,34
0.8529715745002757,0.0020849264112624603,158,balanced,log_loss,15,108
0.8529715745002757,0.0020849264112624603,158,balanced,entropy,15,108
0.8529666705034714,0.0037715114111264683,160,balanced,gini,9,78
0.852948047717678,0.003683952738985134,161,balanced,gini,9,68
0.8528403644881098,0.0027374066616500732,162,,gini,13,14
0.8526909648495726,0.0037102496790674317,163,balanced,gini,9,88
0.8525991582415509,0.0036009033037490965,164,balanced,log_loss,9,98
0.8525991582415509,0.0036009033037490965,164,balanced,entropy,9,98
0.8524331590436954,0.003318277215851115,166,,entropy,9,34
0.8524331590436954,0.003318277215851115,166,,log_loss,9,34
0.8523285350566077,0.003451830990119487,168,,entropy,9,58
0.8523285350566077,0.003451830990119487,168,,log_loss,9,58
0.8521748129669593,0.003060703812607889,170,,log_loss,9,24
0.8521748129669593,0.003060703812607889,170,,entropy,9,24
0.8521361245339729,0.0033558913242281206,172,,log_loss,9,88
0.8521361245339729,0.0033558913242281206,172,,entropy,9,88
0.8520945477542929,0.0032858107000252614,174,,log_loss,9,78
0.8520945477542929,0.0032858107000252614,174,,entropy,9,78
0.8519837992184094,0.003224636641096661,176,,entropy,9,68
0.8519837992184094,0.003224636641096661,176,,log_loss,9,68
0.8518733880839232,0.0037060807790950216,178,balanced,log_loss,9,108
