mean_auc,std_auc,rank_test_score,mean_fit_time,std_fit_time,clf__class_weight,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.8534269775763731,0.004115660220391379,139,1.1297462463378907,0.010517288821903094,balanced,gini,9,58
0.8534186622472474,0.003895491265311999,140,1.6402248382568358,0.0185586444776017,balanced,gini,13,24
0.853371197925723,0.003423541120286134,141,1.1121033668518066,0.008671974372262525,balanced,log_loss,9,88
0.853371197925723,0.003423541120286134,141,1.1317772388458252,0.018454564854950003,balanced,entropy,9,88
0.8533587508285541,0.002121562078926808,143,1.7101423740386963,0.033058846201711206,balanced,log_loss,15,78
0.8533587508285541,0.002121562078926808,143,1.6804644107818603,0.02077239995797983,balanced,entropy,15,78
0.8533337236256407,0.0019471311741966458,145,1.5962693691253662,0.013392886955159453,balanced,gini,15,98
0.8532950821939969,0.004624482209656438,146,1.193754243850708,0.04693228366186033,balanced,gini,9,14
0.8532775326036649,0.002566992963834071,147,1.6864838123321533,0.019607454701301257,balanced,gini,15,68
0.8532446471779561,0.0019791875456793796,148,1.695447826385498,0.023551269747747964,balanced,log_loss,15,68
0.8532446471779561,0.0019791875456793796,148,1.7352482318878173,0.04869313785253008,balanced,entropy,15,68
0.8532027886221971,0.0030780378059637836,150,1.2930930614471436,0.009118829727432371,balanced,gini,11,108
0.8531860655232748,0.0027033246509070787,151,1.8088054656982422,0.0516993927548698,balanced,gini,15,58
0.8530552374296692,0.0019911832043267813,152,1.8067406177520753,0.036984293026872,,entropy,15,34
0.8530552374296692,0.0019911832043267813,152,1.8083700656890869,0.05236557845386067,,log_loss,15,34
0.853024580217993,0.00224235984984469,154,1.6050367832183838,0.061105703899247334,balanced,gini,15,108
0.8530181505097418,0.002216879846990104,155,1.7944759368896483,0.05469335165993715,balanced,log_loss,15,58
0.8530181505097418,0.002216879846990104,155,1.9488561630249024,0.12847811786708957,balanced,entropy,15,58
0.8530057110153022,0.002232842275534474,157,1.7638492107391357,0.025222311772359635,,gini,15,34
0.8529715745002757,0.0020849264112624603,158,1.599902582168579,0.04376062671545162,balanced,log_loss,15,108
0.8529715745002757,0.0020849264112624603,158,1.5789788246154786,0.02157668120538975,balanced,entropy,15,108
0.8529666705034714,0.0037715114111264683,160,1.1245922088623046,0.020999124824076714,balanced,gini,9,78
0.852948047717678,0.003683952738985134,161,1.195458173751831,0.025122663311167196,balanced,gini,9,68
0.8528403644881098,0.0027374066616500732,162,1.6206567764282227,0.01727427356818026,,gini,13,14
0.8526909648495726,0.0037102496790674317,163,1.1112459659576417,0.001989476227304339,balanced,gini,9,88
0.8525991582415509,0.0036009033037490965,164,1.1498758316040039,0.03906904320390941,balanced,log_loss,9,98
0.8525991582415509,0.0036009033037490965,164,1.1085966110229493,0.0095132801049805,balanced,entropy,9,98
0.8524331590436954,0.003318277215851115,166,1.1216677665710448,0.028175283424284263,,entropy,9,34
0.8524331590436954,0.003318277215851115,166,1.1116153717041015,0.026495378573784867,,log_loss,9,34
0.8523285350566077,0.003451830990119487,168,1.145397996902466,0.014117501532728319,,entropy,9,58
0.8523285350566077,0.003451830990119487,168,1.091968297958374,0.008255019062315632,,log_loss,9,58
0.8521748129669593,0.003060703812607889,170,1.1405319213867187,0.01817307125514631,,log_loss,9,24
0.8521748129669593,0.003060703812607889,170,1.1254948139190675,0.013520292167615711,,entropy,9,24
0.8521361245339729,0.0033558913242281206,172,1.0734030723571777,0.005763414267272772,,log_loss,9,88
0.8521361245339729,0.0033558913242281206,172,1.0853351593017577,0.007287602586173961,,entropy,9,88
0.8520945477542929,0.0032858107000252614,174,1.0976442337036132,0.024244958453048287,,log_loss,9,78
0.8520945477542929,0.0032858107000252614,174,1.0912872791290282,0.004348153037118999,,entropy,9,78
0.8519837992184094,0.003224636641096661,176,1.1005878925323487,0.009034606879495638,,entropy,9,68
0.8519837992184094,0.003224636641096661,176,1.1285398960113526,0.051718730672181266,,log_loss,9,68
0.8518733880839232,0.0037060807790950216,178,1.1158935546875,0.00955554270470622,balanced,log_loss,9,108
0.8518733880839232,0.0037060807790950216,178,1.1193987369537353,0.03652870427988529,balanced,entropy,9,108
0.8517847138732261,0.003531521512983223,180,1.1106388092041015,0.010475002067852608,balanced,gini,9,98
0.8517357284534455,0.0037126245149027457,181,1.1135697841644288,0.006108605973038603,,log_loss,9,14
0.8517357284534455,0.0037126245149027457,181,1.147543239593506,0.00943898849988302,,entropy,9,14
0.8517224713910154,0.0030966987189064974,183,1.6329806804656983,0.04213215096316514,,log_loss,13,14
0.8517224713910154,0.0030966987189064974,183,1.6749093532562256,0.033633818556594225,,entropy,13,14
0.8517151594845769,0.0018628640633660428,185,2.0196322441101073,0.09682215787312742,balanced,entropy,15,34
0.8517151594845769,0.0018628640633660428,185,1.8721747875213623,0.061913940288580216,balanced,log_loss,15,34
